,S,E,I,H,R,D
0,19339994.6,1.0,4.0,0.4,0.0,0.0
1,19339993.405918583,1.9009460301235663,3.9906346711395115,0.4376882662868745,0.25978239202732334,0.005030062383393745
2,19339992.189773604,2.6592938809151767,4.140341615993879,0.47321494108111106,0.5268799284412041,0.010496024785242171
3,19339990.909097675,3.339235952733238,4.4166374276121925,0.5094748022721749,0.8091638818726217,0.016390253331865175
4,19339989.529130258,3.986401202302899,4.799847677741266,0.5486002406455975,1.11328567531374,0.022734945701284783
5,19339988.019592866,4.634125571137436,5.279244339572044,0.5922377890820939,1.4452246877994974,0.029574746033792412
6,19339986.352418356,5.307726712438343,5.850466553814573,0.6417380091930361,1.8106782452955064,0.03697212455070668
7,19339984.50011461,6.02743284243858,6.513813536161427,0.6982871967448055,2.2153471557878963,0.04500466320334043
8,19339982.434545554,6.810405091307815,7.273132400299469,0.7630001722074813,2.6651531118260974,0.05376367270582007
9,19339980.1259809,7.672151561462862,8.135113641335128,0.8369872585401597,3.166412886589388,0.06335375747859587
10,19339977.542312343,8.62753545578814,9.108868219666343,0.92140436691355,3.725986544159291,0.07389307554787011
11,19339974.648365445,9.691514645613365,10.205701803585029,1.0174922798379968,4.3514116960255755,0.08551412975475596
12,19339971.405256968,10.87970662533408,11.439029676912135,1.126609334348776,5.051032411653527,0.09836498724381366
13,19339967.769761484,12.208843023811447,12.82439512336568,1.250260418767553,5.834129084820584,0.11261086670450332
14,19339963.693660114,13.697158460525019,14.379566880776514,1.3901243644917336,6.711054120871033,0.1284360619661145
15,19339959.12305013,15.36474449656057,16.124700653324567,1.548081216283359,7.6933773108039505,0.14604619256121343
16,19339953.997597776,17.233891253601715,18.082555403005774,1.726240524739842,8.794044254194622,0.16567078646488254
17,19339948.24971853,19.329433031481937,20.278759784075557,1.9269715537916499,10.027550888024672,0.1875662131763495
18,19339941.80367024,21.679110494928068,22.742127068269323,2.152936151308254,11.410137051046563,0.21201899437119956
19,19339934.574544378,24.313959761110112,25.505019257128417,2.407124963007905,12.960002109157957,0.23934952867616807
20,19339926.467140496,27.26873706344408,28.60376280692572,2.6928976196944094,14.697545735531463,0.26991627392566686
21,19339917.37470759,30.582387243777934,32.079119897634264,3.0140275492467,16.64563727634224,0.30412043929733085
22,19339907.177535363,34.298563731552406,35.97682028612694,3.3747520628001064,18.829917304162382,0.34241124548876367
23,19339895.741376244,38.46620806907086,40.34815999450628,3.7798284292701734,21.279135433878977,0.3852918206061681
24,19339882.915676255,43.14019765665083,45.250674474186816,4.2345967366045665,24.02552906085252,0.4333258108160781
25,19339868.531592283,48.38207025446757,50.74889449195244,4.745050349341269,27.10524782552214,0.48714478850108434
26,19339852.39976891,54.26083550437621,56.915194539233276,5.317914932600132,30.558829546271483,0.5474565565757972
27,19339834.307845466,60.853884291428216,63.830744801807626,5.960737088368655,34.43173388534709,0.6150544577580936
28,19339814.01766045,68.24800801083617,71.58657916374567,6.681983776144305,38.77494078395436,0.6908278112201188
29,19339791.26211676,76.5405412682178,80.2847930351261,7.491153826226234,43.64562149657485,0.7757736124937413
30,19339765.741667356,85.84064271928588,90.03988642783038,8.398902982245652,49.10789086735575,0.8710096472956939
31,19339737.12036858,96.27073329952961,100.98027240692431,9.417184351784856,55.23365214361593,0.9777892160419026
32,19339705.02146232,107.96810603518787,113.24996573284584,10.559405650344956,62.10354264754759,1.0975176139102736
33,19339669.02241765,121.08673278355,127.01047808635401,11.840605709892637,69.80799514781667,1.2317706247864333
34,19339628.649368573,135.79929086632694,142.4429442650059,13.27765250728715,78.44842852225086,1.3823152663645708
35,19339583.37087869,152.2994348756266,159.75050568531296,14.889465179342782,88.13858252208757,1.55113304412808
36,19339532.590948034,170.80434454057516,179.16098355824806,16.69726304494183,99.00601479232068,1.7404460304288116
37,19339475.64117045,191.55758196102028,200.92987680433856,18.724844897257142,111.1937797775738,1.9527461108234936
38,19339411.771937888,214.83229589071524,225.3437244338908,20.99890226044072,124.86231174219618,2.190827785205288
39,19339340.142581478,240.9348132896008,252.7238742818347,23.54937053792603,140.19153547896659,2.4578249338947944
40,19339259.810306855,270.2086699838003,283.43071266865377,26.409823135170807,157.38323527896418,2.7572520815375836
41,19339169.717794336,303.03912736617593,317.86840458946057,29.61791316474,176.66370990164998,3.09305064262102
42,19339068.67929237,339.8582375884506,356.4902100428067,33.21586885567109,198.28675035414332,3.469640789943398
43,19338955.365018237,381.1505251832436,399.80444727043135,37.25104931028977,222.536980358216,3.8919796398718867
44,19338828.28367194,427.4593553973059,448.3811774808071,41.77656752551002,249.7336011756625,4.365626481659815
45,19338685.76282793,479.39407479123275,502.8597009832145,46.85198907602251,280.2345912898165,4.896815930770217
46,19338525.926945545,537.6380180380619,563.9569641200519,52.544115704755015,314.4414166133029,5.492539977390938
47,19338346.67271075,602.957486243291,632.4769859656595,58.92786411254265,352.8043129287269,6.160640002617633
48,19338145.64139552,676.21180969704,709.3214257318439,66.08725111840495,395.82820799245906,6.909909941117124
49,19337920.18786492,758.3646296589224,795.501432157608,74.11649842389119,444.0793628703742,7.750211976635179
50,19337667.345818017,850.4965488573429,892.150933507776,83.12127176044714,498.1928215372007,8.692606324172235
51,19337383.78883025,953.8193090525599,1000.5415322102237,93.22006993946458,558.8807618306814,9.749496717397186
52,19337065.78667799,1069.6916822775072,1122.099204205577,104.54578233296729,626.9418596372197,10.93479355776884
53,19336709.156370983,1199.6372834278761,1258.4230231552558,117.24743534570266,703.2717902028086,12.264096888092638
54,19336309.207253307,1345.3645364295103,1411.3061532796833,131.49215082115575,788.8750045691505,13.754901595758072
55,19335860.67948362,1508.789043889938,1582.7593739283454,147.4673411163173,884.8779300086957,15.426827441837187
56,19335357.675076358,1692.0586550897035,1775.0374498432736,165.3831701937893,992.5437715052444,17.30187700965111
57,19334793.58059354,1897.581557403306,1990.6686990137443,185.47531334476935,1113.2891116697938,19.404725031666494
58,19334160.980527934,2128.057742167343,2232.4881200151135,208.00805020592392,1248.7025169749954,21.763042708643738
59,19333451.560245194,2386.5142499757862,2503.6745152462086,233.27773176953204,1400.5653964857438,24.407861332534356
60,19332655.9972225,2676.344650227896,2807.792092376687,261.6166669549476,1570.8753879281144,27.373980014812844
61,19331763.83917855,3001.3532503508386,3148.8370908285974,293.3974792474102,1761.872578103646,30.700422919920555
62,19330763.3675959,3365.80458383453,3531.2899955707085,329.0379880145857,1976.0688849919668,34.43095169188455
63,19329641.44485054,3774.478808412352,3960.174028861785,369.00667901861976,2216.280993212405,38.61463995522619
64,19328383.342975292,4232.733716438935,4441.1206776057315,413.82883584930306,2485.667277310682,43.306517508672826
65,19326972.55196965,4746.574089350366,4980.443066740574,464.0934080105144,2787.7691739219986,48.56829233127907
66,19325390.565235518,5322.729268883756,5585.218092763722,520.460704545268,3126.557538540814,54.46915975480643
67,19323616.639393095,5968.739911937208,6263.378373234418,583.6710138228198,3506.4845983614277,61.08670955404996
68,19321627.525534116,6693.05494093183,7023.815164378491,654.5542571501363,3932.542160797582,68.5079426340391
69,19319397.168658547,7505.139834979328,7876.493490669449,734.0407965973781,4410.326809042454,76.83041017075419
70,19316896.371566184,8415.597563147987,8832.580916299921,823.1735355731133,4946.112928721894,86.1634900799079
71,19314092.419105973,9436.303589101584,9904.59152195179,923.1214655614255,5546.934500137724,96.62981727931735
72,19310948.65832536,10580.556405658628,11106.546873002042,1035.1948245021717,6220.676685284915,108.36688619604888
73,19307424.02964337,11863.245308642441,12454.155811962126,1160.8620524888288,6976.178338175322,121.5288453654326
74,19303472.54348397,13301.037262763044,13965.015244352306,1301.7687562873487,7823.346745211419,136.28850742196224
75,19299042.696281727,14912.584913594705,15658.834241944625,1459.758918272413,8773.286044254377,152.83960020950934
76,19294076.819535844,16718.757677307538,17557.684056170812,1636.8985913812778,9838.44085245535,171.3992868452534
77,19288510.354710445,18742.89834886065,19686.27673112085,1835.5023662650383,11032.756857488752,192.2109858243471
78,19282271.04556502,21011.107870235068,22072.275592293365,2058.162948818679,12371.860494155568,215.54752948249782
79,19275278.04094309,23552.56034127776,24746.640435452053,2307.7841245806585,13873.259462759366,241.7146928456583
80,19267440.89711551,26399.85139368073,27744.01179925294,2587.617563499202,15556.56698226226,271.0551457977553
81,19258658.471458476,29589.38262127104,31103.1372642174,2901.3038170220343,17443.751971077236,303.9528679374633
82,19248817.696482275,33161.78466747629,34867.344516772966,3252.9179795807495,19559.41826933349,340.8380845600237
83,19237792.223658953,37162.38175882929,39085.06533220727,3647.020488603661,21931.115980565137,382.19278084157236
84,19225440.925816547,41641.7006084128,43810.41471166846,4088.7136001639433,24589.688404806697,428.556858402641
85,19211606.246921483,46656.02531486069,49103.83038643846,4583.704075769205,27569.658294417874,480.53500703035115
86,19196112.38774876,52268.000739363,55032.7768922841,5138.372703282022,30909.657547451225,538.8043688563556
87,19178763.316670034,58547.2851317067,61672.51919614234,5759.851260583416,34652.90466115492,604.123080375696
88,19159340.5953684,65571.25233750849,69106.97020599301,6456.1075919927125,38847.73470962186,677.3397864796387
89,19137601.010760006,73425.74236379909,77429.61631932572,7236.039472197804,43548.18685637751,759.4042282899017
90,19113274.006944727,82205.85739414906,86744.52417309476,8109.577924884008,48814.654551350184,851.3790117937486
91,19086058.914418418,92016.79763866146,97167.4308236122,9087.800649003435,54714.60379704278,954.4526732554292
92,19055621.97535884,102974.7293104208,108826.91903683901,10183.056297824203,61323.36581620956,1069.9541798576668
93,19021593.174595315,115207.67172774122,121865.67545097975,11409.10008258253,68725.00915667729,1199.3689866993327
94,18983562.89525211,128856.38637903282,136441.82613218162,12781.240875114598,77013.29461699419,1344.3567445654335
95,18941078.404756803,144075.24472322201,152730.35075198225,14316.50138891104,86292.72739517869,1506.7709838987314
96,18893640.24356161,161033.04497362423,170924.54582100885,16033.789374145534,96679.69565838408,1688.680611220975
97,18840698.5403037,179913.7340540271,191237.53668403445,17954.081611994447,108303.71369889287,1892.3936473470126
98,18781649.341457184,200916.98590647918,213903.8042995322,20100.619177589888,121308.7659340952,2120.483225114461
99,18715831.05357919,224258.574361888,239180.6896975457,22499.11308259806,135854.75330043235,2375.8159783421
100,18642521.1279891,250170.45377058192,267349.8361119768,25177.95834907314,152119.04081920593,2661.5829600587313
101,18560933.149853982,278900.45713710494,298718.50371861865,28168.454129463713,170298.10199456033,2981.333166262887
102,18470214.538475886,310711.49122281314,333620.68346280203,31505.026069579744,190609.2510497292,3339.0097191817135
103,18369445.110435423,345880.09085718443,372417.9148665706,35225.44597168119,213292.44915918368,3738.9887099503144
104,18257636.807869665,384694.17515495355,415499.6893564343,39371.04238886679,238612.1646024563,4186.120627618345
105,18133734.952877134,427449.8205675466,463283.3002470504,43986.89367150385,266859.25841497333,4685.774221785733
106,17996621.443682373,474446.85273992503,516212.9697505051,49121.99312620823,298352.8581763221,5243.882524661054
107,17845120.36657671,525983.0403054126,574758.0581759796,54829.37329254902,333442.1710252329,5866.990624111812
108,17678006.548094332,582346.6682825532,639410.1315463039,61166.17357593883,372508.1738959764,6562.30460489177
109,17494017.59191191,643807.2836553528,710678.6437576897,68193.63311339892,415965.10667182866,7337.740889814511
110,17291870.038319837,710604.397818749,789084.9371592104,75976.98488719549,464261.6669477143,8201.974867290226
111,17070280.088260993,782934.058165353,875154.3262044906,84585.22953825489,517881.8101954141,9164.487635488058
112,16827989.48478822,860933.1911487854,969405.9422337572,94090.75785398686,577345.0148599584,10235.6091152868
113,16563796.88522472,944661.8028853391,1072340.0963064258,104568.79202526793,643205.8680038981,11426.555554341774
114,16276594.872238388,1034083.2921327024,1184422.9495130933,116096.61423332692,716052.8127657728,12749.459116710566
115,15965412.48693011,1129043.3319065077,1306068.3652549426,128752.54960919618,796505.8795394438,14217.386759794383
116,15629462.760667564,1229248.0592636038,1437616.9417746642,142614.6730778353,885213.2199342726,15844.345282054363
117,15268194.231030947,1334242.6286446261,1579312.3923970857,157759.2142875739,982846.2645776186,17645.269062143856
118,14881344.856345242,1443391.506774253,1731275.6700912875,174258.64204468115,1090093.3379965501,19635.986747981835
119,14468996.103965638,1555862.219507665,1893477.4988957339,192179.42174740083,1207651.5928838477,21833.162999710614
120,14031624.34088716,1670614.5402443376,2065710.2792863252,211579.45581629558,1336217.1723717672,24254.211394113252
121,13570146.082718216,1786397.2589785124,2247560.673643504,232505.23709605742,1476473.5727101876,26917.17485351827
122,13085953.226651825,1901754.6745307883,2438384.4923330126,254988.77067035524,1629078.265352845,29840.570461169038
123,12580934.223672738,2015044.7228858164,2637285.768674139,279044.347697597,1794647.7407481333,33043.19632157159
124,12057477.338291904,2124470.073561579,2843102.1299995976,304665.28799559904,1973741.270664043,36543.8994872728
125,11518452.80512523,2228122.832229829,3054398.4968946096,331820.78713498043,2166843.773521533,40361.30509381265
126,10967171.732212815,2324042.1480010445,3269471.206328359,360453.04480003467,2374348.359292973,44513.50936476769
127,10407321.211622708,2410283.008349812,3486363.9904394285,390474.85733533395,2596539.1916722776,49017.74058043509
128,9842877.000735827,2484992.8069438785,3702896.9126275782,421767.8658399342,2833575.4188159024,53889.99503687241
129,9277997.110705798,2546491.306765836,3916708.2986877463,454181.6507236972,3085476.976345632,59144.65677128088
130,8716901.689481663,2593348.4115299485,4125308.910112558,487533.829082352,3352113.047424116,64794.11236935426
131,8163746.079207472,2624453.9281010344,4326146.426071799,521611.2780690609,3633193.914973028,70848.37357759752
132,7622494.942084442,2639073.582086679,4516677.399619298,556172.5463854413,3928266.808141662,77314.72168247041
133,7096805.471479808,2636886.524640751,4694442.996998675,590951.4494600751,4236716.169454392,84197.38796628853
134,6589927.068536098,2618001.0395969227,4857144.30576954,625661.765567372,4557768.536416117,91497.28411393944
135,6104623.23133549,2582947.158846978,5002712.950025635,660002.8808250778,4890501.984251337,99211.7947154713
136,5643119.543265922,2532646.932872167,5129372.890893492,693666.1623222955,5233859.828452102,107334.64219401116
137,5207079.175063607,2468365.1895211516,5235689.981851178,726341.7850907551,5586668.037203218,115855.83127007952
138,4797604.928433865,2391645.1547360597,5320606.896142979,757725.7146003608,5947655.629501282,124761.67658544371
139,4415264.978864346,2304234.319225013,5383462.053984558,787526.537686181,6315477.196827727,134034.91341216592
140,4060137.906888772,2208006.3491387186,5423992.398832573,815471.8449734498,6688736.612137821,143654.88802865747
141,3731871.769459579,2104884.5049190437,5442320.9995475365,841313.910261387,7066010.9951677965,153597.82064464942
142,3429751.757511352,1996771.2418234304,5438931.346847903,864834.461012745,7445874.061584491,163837.13122006983
143,3152771.3065651595,1885487.50991904,5414630.878944828,885848.396966553,7826918.0913065765,174343.8162978336
144,2899702.2874616534,1772723.9569392074,5370506.6114481315,904206.3801272747,8207773.900244755,185086.8637789692
145,2669160.8014823296,1660005.003189713,5307875.870087271,919796.2812938939,8587128.352062872,196033.69188391214
146,2459666.1820067097,1548665.6129718863,5228234.960298784,932543.5270542875,8963739.118870966,207150.5987973575
147,2269691.7849186347,1439839.7338382055,5133208.278872714,942410.4374662316,9336446.554588454,218403.21031575027
148,2097706.9964007502,1334458.7923783504,5024499.935028508,949394.6798110207,9704182.682289451,229756.9140919107
149,1942210.5618313486,1233258.3258299087,4903849.444739607,953526.985963355,10065977.410869297,241177.27076647512
150,1801755.8150910113,1136790.743367267,4772992.57284914,954868.2918528352,10420962.18274547,252630.3940942674
151,1674968.7012375137,1045442.2862988946,4633627.941632543,953506.4594087938,10768371.317367164,264083.2940550829
152,1560559.6370134791,959452.4841191007,4487389.616718378,949552.732583277,11107541.350671045,275504.1788947131
153,1457330.2920668293,878934.6711253802,4335825.570180102,943138.0661580072,11437908.686725657,286862.7137440185
154,1364176.331059491,803896.430205505,4180381.678737047,934409.4483663131,11759005.876593554,298130.235038083
155,1280087.0552735187,734259.1275133914,4022390.754689586,923526.3180371718,12070456.823202677,309279.92128364986
156,1204142.7724733225,669875.9531903359,3863066.0026140823,910657.1581329356,12371971.19177404,320286.92181527684
157,1135510.5790969473,610548.1216817513,3703498.2539109583,895976.3264478956,12663338.272815863,331128.44604657905
158,1073439.1154128595,556039.0607357146,3544656.3260503514,879661.1666282311,12944420.514816612,341783.816356225
159,1017252.7217108575,506086.5579795436,3387389.9011155725,861889.4256254209,13215146.905511206,352234.4880573923
160,966345.3553805045,460412.93028579914,3232434.31721933,842836.992406957,13475506.364308417,362464.0403989871
161,920174.4851079336,418733.35713910736,3080416.804885552,822675.9563615806,13725541.254231293,372458.1422745283
162,878255.1596084973,380762.54785747384,2931863.697112551,801572.9799842526,13965341.118864125,382204.49657309416
163,840154.3583067136,346219.94143595063,2787208.252900268,779687.9700195018,14195036.7105602,391692.76677735656
164,805485.7005876764,314833.6390983874,2646798.7813628716,757173.0271704149,14414794.362442637,400914.48933800485
165,773904.5527622505,286343.26242097345,2510906.821671417,734171.6514141384,14624810.736748949,409862.974982262
166,745103.548280574,260501.9191594097,2379735.1845656894,710818.1774640622,14825307.968626121,418533.2019041333
167,718808.5191736985,237077.4399729165,2253425.7105599884,687237.4144996929,15016529.212366497,426921.70342719665
168,694774.824799856,215853.03118920856,2132066.639413568,663544.464199806,15198734.587956347,435026.45244120323
169,672784.0563180996,196627.46908788217,2015699.5193869697,639844.6919978295,15372197.518610831,442846.74459837767
170,652641.090817275,179214.94244678257,1904325.6124452883,616233.8277403525,15537201.444585744,450383.0819645467
171,634171.4668132949,163444.63281594863,1797911.7734664984,592798.1736096796,15694036.894751808,457637.0585427623
172,617219.0522600365,149160.10617816952,1696395.7989194859,569614.8990137242,15842998.8947952,464611.24883337325
173,601643.9767516322,136218.5758634101,1599691.253531832,546752.4041365942,15984384.689354394,471309.1003621284
174,587320.8009231121,124490.08445390052,1507691.7931722286,524270.7358693677,16118491.754681995,477734.83089938393
175,574136.8976508894,113856.64242655365,1420275.0090698814,502222.0417382195,16245616.078201367,483893.330913077
176,561991.0217244839,104211.35244057822,1337305.8230091827,480651.0494116053,16366050.681780612,489790.0716335259
177,550792.0466658515,95457.54117376388,1258639.4658353785,459595.561112347,16480084.366241127,495431.0189715185
178,540457.849325083,87507.91484013849,1184124.073049976,439086.9538724194,16588000.655499645,500822.55341272446
179,530914.325184076,80283.74957049641,1113602.930789615,419150.67823374935,16690076.920311494,505971.3959105547
180,522094.5191202687,73714.1243550113,1046916.4048181534,399806.74921836815,16786583.66276155,510884.5397266348
181,513937.8563233062,67735.20208919162,983903.5874907066,381070.22401026706,16877783.94199627,515569.1880902457
182,506389.4637042056,62289.55923548697,924403.6882160248,362951.6636327649,16963932.927726034,520032.6974854667
183,499399.5690521488,57325.56665888942,868257.1992956055,345457.57456178655,17045277.56406339,524282.5263681654
184,492922.969426743,52796.820326193396,815306.8612690559,328590.82862194255,17122056.33129664,528326.1890594093
185,486918.56009022874,48661.620020105445,765398.4534530313,312351.0595909785,17194499.09231961,532171.2145260291
186,481348.9169245067,44882.49462517735,718381.4300250594,296735.0355415903,17262827.01309311,535825.1097905438
187,476179.9254121761,41425.77077618443,674109.4236514246,281737.0065431184,17327252.545976147,539295.327640938
188,471380.4515062059,38261.182586957155,632440.6313304768,267349.0277718074,17387979.468413696,542589.2383908472
189,466922.0483499797,35361.519049362694,593238.1022606088,253561.25813552464,17445202.966854252,545714.1053502649
190,462778.6952715881,32702.306414966064,556369.9394477061,240362.23515322024,17499109.759966716,548677.0637457949
191,458926.5649822519,30261.522644009405,521709.4286211788,227739.12681410593,17549878.254142903,551485.1027955462
192,455343.8157221891,28019.340990814275,489135.1057310117,215677.96126666194,17597678.725613236,554145.0506760845
193,452010.4054210021,25957.900170566594,458530.7727100571,204163.83545862956,17642673.524125356,556663.5621143869
194,448907.92540270084,24061.098621665737,429785.4700127533,193181.10375449955,17685017.293839037,559047.1083693407
195,446019.45124210865,22314.410346272995,402793.4140568687,182713.5477609286,17724857.20724024,561301.9693535756
196,443329.40895309014,20704.72039721927,377453.90547158447,172744.52849633247,17762333.208990443,563434.2276913279
197,440823.4547330602,19220.177932825107,353671.2141096268,163257.12210142132,17797578.266620778,565449.7645022871
198,438488.3667291218,17850.064970653468,331354.44585113274,154234.24026080949,17830718.625468556,567354.256719727
199,436311.94751748344,16584.679274812002,310417.3952167355,145658.7364866332,17861874.06573565,569153.1757686874
